parietal_endo_rep1	parietal_endo_rep2	parietal_endo_rep3	parietal_endo_rep4	parietal_endo_rep5	parietal_endo_rep6
B3galt2	0	2	4	1	0	2
Glrx2	197	160	107	83	188	214
Trove2	65	49	36	32	67	53
Uchl5	127	77	50	45	110	102
Rgs2	3	3	1	1	3	0
Rgs18	0	0	0	0	0	0
Pla2g4a	0	1	3	1	0	1
Ptgs2	0	0	0	0	1	0
BC003331	160	109	64	47	104	109
Tpr	1421	774	526	448	938	987
Hmcn1	0	0	0	2	3	2
Gm10138	21	16	11	10	17	15
Ivns1abp	176	121	82	61	102	114
Swt1	351	210	133	118	264	244
Trmt1l	40	26	17	15	23	23
Rnf2	177	107	52	42	99	90
Fam129a	36	30	13	6	23	26
X2810414N06Rik	3	2	2	0	3	1
Edem3	58	37	24	18	40	48
X1700025G04Rik	183	85	65	48	116	141
Tsen15	78	56	37	25	67	47
Colgalt2	1	0	1	0	0	0
Rgl1	28	26	14	14	20	19
Arpc5	764	413	241	219	537	545
Ncf2	2	0	1	0	0	1
Smg7	114	73	38	25	64	71
Nmnat2	0	1	0	0	1	1
Lamc2	86	61	16	16	44	50
Lamc1	4268	3103	1475	1188	2345	2536
Shcbp1l	1	2	1	0	0	0
Dhx9	346	223	137	108	230	246
Npl	67	24	16	14	39	30
Rgs8	0	0	0	0	0	0
Rgs16	0	4	1	3	3	3
Rnasel	22	17	9	5	16	10
Teddm2	0	1	0	1	0	0
Glul	269	181	139	134	237	258
Cacna1e	0	0	1	0	0	0
Gm9530	0	0	0	0	0	1
Ier5	79	36	26	14	52	35
Mr1	4	4	2	0	3	0
Stx6	55	24	14	11	32	31
BC034090	4	1	0	3	0	1
Xpr1	37	29	18	11	30	29
Acbd6	283	163	109	85	199	190
Lhx4	0	0	0	1	0	1
Qsox1	99	91	49	34	96	78
Cep350	236	147	110	99	184	218
Tor1aip1	326	198	138	83	189	185
Tor1aip2	422	275	152	146	275	245
Fam163a	3	4	2	1	3	6
Tdrd5	12	2	5	1	3	4
Axdnd1	5	4	2	3	1	1
Gm2000	10	9	9	11	20	27
Soat1	482	359	260	204	437	453
Gm10031	8	4	2	2	2	3
Abl2	129	63	44	37	56	70
Tor3a	61	55	33	12	39	46
Fam20b	78	40	21	18	55	38
Ralgps2	97	83	32	53	102	100
Angptl1	0	1	0	0	2	1
X4930439D14Rik	0	0	0	1	0	1
Rasal2	17	15	11	4	6	15
Cryzl2	0	0	1	1	3	2
Brinp2	0	0	0	0	0	0
Astn1	0	0	0	0	1	0
Cop1	152	87	48	40	88	91
Tnr	0	0	0	1	0	0
X4930523C07Rik	2	4	0	0	5	4
Mrps14	659	413	251	246	545	508
Cacybp	745	400	257	199	501	415
