pluripotent_NA18511	pluripotent_NA18856	pluripotent_NA18858	pluripotent_NA18912	pluripotent_NA19140	pluripotent_NA19159	pluripotent_NA19160	pluripotent_NA19210
CFAP57	8	61	140	23	4	16	4	29
TMEM125	726	30	15980	155	9	40	512	159
C1orf210	402	9	8092	84	10	20	236	127
TIE1	28	2	403	7	1	3	6	23
MPL	0	0	4	2	0	0	0	1
CDC20	7447	1846	97225	1482	212	477	4009	2355
ELOVL1	876	141	14602	261	33	63	479	250
MED8	1734	565	24773	408	74	132	681	576
SZT2	213	210	2078	119	31	53	112	189
HYI	843	447	13758	290	93	117	622	371
PTPRF	2196	824	26672	708	162	372	1824	1161
KDM4A	1314	612	24770	513	104	209	800	852
ST3GAL3	36	1303	1073	462	99	193	73	756
ARTN	321	16	6756	64	5	16	174	66
IPO13	343	75	5835	62	12	30	169	95
DPH2	1459	136	22079	175	25	47	716	306
ATP6V0B	14211	2335	201061	2765	365	837	6347	3259
B4GALT2	1237	533	16545	354	70	113	862	563
CCDC24	392	144	7466	147	28	76	246	207
SLC6A9	106	111	2055	69	13	26	86	96
KLF17	16	1	5	0	0	0	1	2
KLF18	2	0	2	0	0	0	0	0
DMAP1	1653	451	25074	377	53	123	833	512
ERI3	3330	1556	48007	1190	201	433	1987	1707
RNF220	1969	562	25707	801	159	297	1085	1671
TMEM53	423	204	9108	138	27	72	328	267
ARMH1	44	139	256	109	28	71	14	88
KIF2C	2027	1187	26095	648	153	267	1301	1051
RPS8	233623	78132	2711146	53567	10903	23599	142163	91699
BEST4	56	43	861	32	4	24	66	54
PLK3	349	46	3211	28	7	15	93	84
TCTEX1D4	5	6	32	1	0	0	0	0
BTBD19	10	25	161	12	2	3	9	20
PTCH2	93	236	694	63	18	28	17	123
EIF2B3	2223	937	25434	779	161	234	1105	1091
HECTD3	430	87	5690	87	11	25	242	168
UROD	2665	646	36529	656	95	251	1439	1169
ZSWIM5	29	988	572	477	133	168	31	761
HPDL	2613	178	13599	210	63	83	890	326
MUTYH	613	426	8812	364	75	131	360	530
TOE1	698	173	10232	148	12	51	382	201
TESK2	184	175	3026	386	65	105	119	511
CCDC163	57	19	930	10	3	4	22	15
MMACHC	183	56	1695	62	17	20	135	92
PRDX1	138506	14377	2293572	19578	2821	6220	57652	31159
AKR1A1	6696	2562	123903	1947	380	661	4872	3224
NASP	38479	13016	453506	10484	1951	4096	24043	17832
CCDC17	15	1	534	5	0	4	19	5
GPBP1L1	2076	1189	24423	1124	209	433	1557	1775
TMEM69	1684	380	21532	355	55	124	978	485
IPP	219	327	2277	181	49	77	215	218
MAST2	430	986	5872	865	179	220	285	1205
PIK3R3	149	1859	1960	639	177	320	162	1442
TSPAN1	1	3	38	1	0	2	2	10
P3R3URF	0	0	0	0	0	0	0	0
POMGNT1	682	314	9791	211	39	71	476	287
LURAP1	160	74	3205	68	3	19	96	87
RAD54L	717	275	8428	164	27	62	374	354
LRRC41	1571	827	21427	525	107	189	869	807
UQCRH	96472	10323	897178	11698	2126	4058	45417	20505
NSUN4	656	283	5801	193	27	82	406	296
FAAH	216	43	2269	43	6	14	116	66
DMBX1	95	11	41	7	5	5	34	13
TMEM275	2	1	7	0	0	0	0	3
KNCN	0	0	2	0	0	0	0	0
MKNK1	775	195	6457	140	32	50	355	290
MOB3C	34	17	350	3	0	3	20	9
ATPAF1	2233	909	38451	696	153	216	1246	838
TEX38	2	0	8	5	1	1	0	1
EFCAB14	1560	459	17242	442	89	120	804	702
CYP4B1	4	3	9	6	0	0	0	3
CYP4A11	0	0	3	0	0	0	2	0
CYP4X1	24	5	734	9	3	1	44	15
CYP4Z1	0	4	0	1	1	0	0	2
CYP4A22	0	1	0	0	0	0	0	0
PDZK1IP1	0	0	4	0	0	1	0	0
TAL1	3	11	17	0	0	0	7	6
STIL	987	687	10024	736	117	147	590	815
CMPK1	3282	1151	29208	795	167	293	1691	1218
FOXE3	4	0	45	3	0	2	5	4
FOXD2	41	26	43	3	0	1	15	16
TRABD2B	162	1252	2246	585	162	180	109	1097
SLC5A9	0	16	11	10	0	5	0	18
SPATA6	671	1440	6487	765	161	304	393	1336
AGBL4	22	103	133	685	12	112	0	86
BEND5	327	259	5482	168	29	88	379	231
ELAVL4	75	101	494	63	10	57	46	111
DMRTA2	39	40	286	20	5	18	8	50
FAF1	1975	3134	25580	2310	497	787	1296	3468
CDKN2C	1	14	16	0	1	0	0	4
C1orf185	0	0	2	0	0	0	0	0
RNF11	1183	561	11714	375	90	175	780	680
TTC39A	146	19	3030	45	3	11	64	45
EPS15	1219	976	13056	823	175	300	665	1204
OSBPL9	2125	1485	30185	1220	239	481	1200	1513
NRDC	6282	2190	72206	1955	415	687	3392	3048
RAB3B	6088	454	66915	664	159	244	2193	1235
TXNDC12	414	1812	5646	1463	285	533	227	2411
KTI12	656	131	10981	138	23	56	373	200
BTF3L4	11882	3006	124984	2600	468	888	6597	3759
ZFYVE9	599	1045	6667	745	203	251	378	1105
CC2D1B	286	90	4117	115	16	32	133	119
ORC1	978	262	11686	297	50	106	477	388
PRPF38A	3168	928	40193	729	126	277	1800	1223
TUT4	3405	4078	33824	1646	480	800	1539	3119
GPX7	717	1008	7103	344	108	159	498	584
SHISAL2A	77	64	362	19	8	6	51	42
COA7	2273	295	22429	373	67	116	1172	566
ZYG11B	1221	683	17432	592	124	224	748	805
ZYG11A	572	61	2328	156	109	31	220	601
ECHDC2	392	114	8093	187	37	57	321	262
SCP2	4542	1244	57638	935	218	346	2465	1584
PODN	16	2	213	8	0	2	2	9
SLC1A7	2	1	3	0	0	0	2	0
CPT2	997	257	14431	188	49	54	597	350
CZIB	2465	1102	45202	688	129	319	1677	1352
MAGOH	10746	2431	129910	2199	338	654	5631	2776
LRP8	1012	436	11136	387	82	102	585	630
DMRTB1	90	0	412	2	1	0	33	16
GLIS1	3	15	62	84	5	6	5	26
NDC1	1391	708	17125	580	98	183	777	930
YIPF1	739	332	12276	238	51	100	460	386
DIO1	3	17	15	5	3	5	0	19
HSPB11	2807	1403	44308	984	194	367	1885	1379
LRRC42	1829	645	26850	458	98	194	1266	787
LDLRAD1	1	1	5	0	0	0	0	1
TMEM59	8169	2055	79235	1528	322	634	4136	2672
TCEANC2	259	154	3314	103	25	38	170	189
CDCP2	0	4	4	0	1	0	0	2
CYB5RL	323	145	5452	73	19	40	236	164
MRPL37	5039	925	71292	1008	168	337	2575	1622
SSBP3	2555	2132	25510	1525	327	577	1620	2846
ACOT11	71	33	630	77	2	14	44	80
FAM151A	1	3	13	2	0	2	0	2
MROH7	0	19	4	15	2	4	1	14
TTC4	212	600	2671	401	77	148	124	565
PARS2	450	84	5249	82	13	21	217	105
TTC22	17	8	330	5	0	0	21	4
LEXM	1	2	22	0	1	3	1	6
DHCR24	3319	709	34765	874	153	286	2003	1031
TMEM61	10	3	624	8	0	2	7	3
BSND	14	2	128	0	0	1	5	2
PCSK9	1186	48	4023	135	39	39	374	207
USP24	569	1435	6550	773	212	255	399	1145
PLPP3	1023	835	16632	940	183	362	543	1460
PRKAA2	242	1049	4360	511	114	240	384	652
FYB2	15	390	116	152	58	103	6	61
C8A	0	0	0	0	0	0	0	0
C8B	0	1	1	0	0	0	0	2
DAB1	403	1594	5389	1397	342	1099	293	2409
OMA1	1173	216	10882	161	25	60	615	295
TACSTD2	104	7	784	175	19	64	38	6
MYSM1	4435	735	39327	1030	248	317	1922	2249
JUN	5478	788	45117	1384	269	394	2113	1041
FGGY	508	701	6350	668	133	198	267	1075
HOOK1	1798	255	22476	336	75	109	1077	617
CYP2J2	12	5	229	5	0	2	9	1
C1orf87	0	4	37	0	0	2	1	2
NFIA	472	1342	3587	429	302	351	261	1005
TM2D1	1995	874	20394	555	148	240	1146	867
PATJ	1183	1002	12430	2040	339	577	627	2171
L1TD1	57914	1831	743739	12027	1734	2951	31417	16258
KANK4	36	90	419	78	15	51	24	66
USP1	4116	1850	41473	1179	229	441	2191	1955
DOCK7	883	1979	8826	1048	258	400	535	1650
ANGPTL3	2	7	7	3	1	2	1	4
ATG4C	1089	667	12592	462	111	187	716	762
FOXD3	1082	50	17831	89	13	19	535	300
ALG6	1096	418	12786	290	68	106	613	521
ITGB3BP	2978	2319	40603	1272	245	475	2650	1932
EFCAB7	117	352	2577	153	44	68	91	259
PGM1	5557	579	93433	1526	263	480	4488	2467
ROR1	857	2829	9884	3501	661	1152	982	4412
UBE2U	0	5	8	2	0	0	0	2
CACHD1	1214	2523	17803	3066	365	760	898	3153
RAVER2	299	506	3665	363	87	120	209	536
JAK1	1031	1031	7219	666	181	230	468	1032
AK4	5091	702	43488	1146	224	491	2964	2761
DNAJC6	26	282	246	213	63	87	39	228
LEPROT	2024	925	22538	710	125	295	1190	963
LEPR	17	290	612	167	36	44	40	225
PDE4B	142	1385	1825	220	129	229	43	663
SGIP1	15	39	367	28	5	10	6	54
TCTEX1D1	6	81	109	20	6	11	10	33
INSL5	1	0	2	0	0	0	0	0
WDR78	26	544	303	146	41	78	27	241
MIER1	2581	1494	28118	1010	205	413	1626	1512
SLC35D1	69	355	966	179	47	81	51	258
C1orf141	0	10	4	2	2	0	0	2
IL23R	0	2	9	1	0	0	0	1
IL12RB2	11	19	120	65	6	18	20	85
SERBP1	48118	9488	586322	10744	1767	3811	29466	16679
GADD45A	1681	634	15264	428	53	145	650	688
GNG12	287	707	4971	272	54	130	279	456
DIRAS3	10	18	129	12	5	5	11	15
WLS	298	5827	3353	2199	628	1240	366	2399
RPE65	1	37	8	5	3	2	0	2
DEPDC1	1704	768	19265	556	85	205	1124	838
LRRC7	23	158	268	120	23	66	17	178
LRRC40	1641	765	16975	553	105	220	972	869
SRSF11	18606	5067	223225	4318	778	1540	11372	6736
ANKRD13C	913	1009	7869	690	155	250	409	988
HHLA3	436	291	6378	221	23	150	478	282
CTH	654	363	8273	211	31	93	308	323
PTGER3	4	1	105	5	2	7	7	6
ZRANB2	6103	2801	77867	2158	393	771	3783	2766
NEGR1	5	1648	70	509	173	222	13	915
LRRIQ3	28	223	749	20	10	22	22	170
FPGT	142	415	1478	82	36	72	55	227
TNNI3K	1	260	5	27	9	27	0	105
LRRC53	0	2	0	1	1	1	0	1
ERICH3	0	1	17	5	1	2	0	1
CRYZ	894	417	12871	306	58	126	13	506
TYW3	3734	1337	42582	947	152	312	48	1493
LHX8	40	1	112	6	4	2	6	3
SLC44A5	77	1154	748	339	123	146	37	593
ACADM	3068	1251	36597	708	173	291	1774	1210
RABGGTB	5611	563	64873	688	120	229	2762	1112
MSH4	3	14	48	35	4	6	2	31
ASB17	0	4	0	0	1	0	0	1
ST6GALNAC3	110	2556	1614	1586	354	701	153	2095
ST6GALNAC5	99	1217	430	802	236	477	67	1445
PIGK	759	535	12146	364	65	139	585	679
AK5	58	44	2059	60	9	19	59	101
AC118549.1	1227	1570	14599	1100	225	446	824	1662
USP33	1871	1585	19344	1012	211	343	1084	1389
MIGA1	520	414	5144	297	77	127	265	419
NEXN	71	337	1662	267	61	105	88	163
FUBP1	5005	2862	57178	2261	379	751	4152	3108
DNAJB4	346	219	4187	156	31	75	330	184
GIPC2	81	30	832	48	16	17	57	86
PTGFR	1	37	28	3	6	1	0	12
IFI44L	0	6	16	1	0	3	0	3
IFI44	1	0	3	0	0	0	0	0
ADGRL4	5	15	83	9	1	8	3	14
ADGRL2	820	3178	14061	2302	520	1416	721	2899
TTLL7	110	370	2230	233	48	115	97	240
PRKACB	301	1609	4505	1055	198	430	328	1279
SAMD13	33	78	212	51	17	15	54	68
DNASE2B	0	3	1	0	0	0	0	1
RPF1	1509	603	22186	422	73	165	927	550
GNG5	11427	7084	175626	5391	1061	1857	11053	7584
SPATA1	12	73	257	48	12	28	13	64
CTBS	165	324	2373	113	36	56	182	183
SSX2IP	626	646	7800	332	65	140	498	481
LPAR3	998	51	5429	121	35	45	333	353
MCOLN2	6	17	1529	36	1	7	73	40
WDR63	13	113	135	54	9	18	2	42
MCOLN3	432	18	9538	128	11	18	185	105
SYDE2	456	209	4031	261	43	84	324	303
C1orf52	2754	739	33725	721	123	223	1398	949
BCL10	1699	388	20627	418	72	147	975	593
DDAH1	491	508	7762	321	72	128	240	530
CCN1	1967	516	24388	1143	116	369	1048	432
ZNHIT6	1197	701	16391	536	103	209	770	753
COL24A1	18	76	120	38	6	19	7	55
ODF2L	954	1095	14430	639	132	306	820	918
CLCA2	0	1	6	0	0	0	0	0
CLCA1	0	4	0	0	0	0	0	1
CLCA4	0	0	0	0	0	0	0	0
SH3GLB1	2163	919	25008	751	170	265	1276	906
SELENOF	6675	1901	78922	1573	322	557	3963	2253
HS2ST1	555	2202	5780	1422	325	529	358	2300
LMO4	5736	1308	65832	1441	276	566	3307	2290
PKN2	2290	2817	25989	1735	343	679	1243	2871
GTF2B	2309	693	26930	486	95	162	901	741
KYAT3	1400	971	12229	574	117	224	807	864
RBMXL1	1334	208	14153	224	43	98	574	314
GBP3	0	1	9	0	0	2	0	2
GBP1	1	9	33	0	0	0	0	3
GBP2	3	9	12	17	2	4	0	3
GBP7	0	0	1	0	0	0	0	0
GBP4	5	3	33	2	2	1	1	5
GBP5	0	1	1	0	0	0	0	0
GBP6	0	0	3	1	0	1	1	0
LRRC8B	738	575	7697	303	69	133	432	633
LRRC8C	30	111	575	73	19	40	26	98
LRRC8D	993	1360	13525	893	179	383	602	1496
ZNF326	5734	1740	67088	1551	283	569	3018	2102
BARHL2	19	89	76	5	4	0	2	4
ZNF644	2919	3121	30291	2310	473	857	1665	3177
HFM1	41	780	427	354	83	143	24	438
CDC7	941	1002	11852	594	148	235	582	959
TGFBR3	104	296	1127	152	43	83	42	159
BRDT	11	3	129	1	0	1	5	3
EPHX4	51	54	436	24	10	11	32	25
SETSIP	19	2	307	0	0	1	15	4
BTBD8	173	230	1484	111	37	60	117	204
C1orf146	1	4	1	0	0	0	0	1
GLMN	1619	1227	16635	858	187	373	1147	1280
RPAP2	1335	1126	13672	842	178	318	746	1170
GFI1	2	0	24	1	0	1	3	0
EVI5	839	2056	7717	1385	310	494	531	1785
RPL5	170853	45911	1955417	39973	7155	14994	101262	64000
DIPK1A	156	229	1598	356	63	95	87	373
MTF2	5961	2294	71335	2022	358	639	3627	3238
TMED5	1770	417	21306	365	76	146	839	603
CCDC18	1229	1149	15287	768	153	288	643	1229
DR1	3149	717	36921	675	125	267	1738	1113
FNBP1L	5056	3791	47700	3149	586	1118	3398	4823
BCAR3	186	1199	1645	554	133	180	134	851
DNTTIP2	4668	974	55476	1114	199	354	2472	1470
GCLM	1967	282	18504	375	66	133	945	472
ABCA4	1	26	70	20	4	11	2	16
ARHGAP29	393	268	5091	524	115	236	195	223
ABCD3	1263	799	10601	543	121	209	588	808
F3	1458	121	7611	84	20	32	291	358
SLC44A3	98	73	1629	98	19	33	105	153
CNN3	7463	5428	67193	2895	638	1162	4171	4557
ALG14	354	348	5494	163	40	70	227	285
TLCD4	107	151	3024	108	23	44	109	139
RWDD3	50	604	836	388	100	182	23	515
PTBP2	2237	4123	31293	3077	618	1235	1845	4734
DPYD	0	217	18	157	49	40	1	158
SNX7	920	558	14305	400	69	128	747	637
PLPPR5	28	40	737	29	6	9	54	36
PLPPR4	16	2	240	9	0	1	27	12
PALMD	5	36	94	9	2	6	12	17
FRRS1	41	172	479	89	17	30	46	125
AGL	1776	661	18771	482	106	224	1194	1020
SLC35A3	974	511	11327	348	85	130	535	579
MFSD14A	53	941	648	589	130	233	32	918
SASS6	1605	682	17805	489	81	180	848	746
TRMT13	1019	437	12272	302	65	105	627	413
LRRC39	4	25	57	15	3	7	5	34
DBT	1161	429	13988	366	65	121	719	544
RTCA	2469	603	28880	629	108	192	1308	879
CDC14A	142	1135	3004	549	97	259	144	1097
GPR88	0	0	2	0	0	0	1	1
VCAM1	6	15	24	2	6	4	2	7
EXTL2	2108	754	22735	520	115	233	1449	877
SLC30A7	853	606	9073	446	93	171	505	783
DPH5	2336	682	25409	521	106	191	1505	750
S1PR1	20	115	253	23	8	23	17	53
OLFM3	52	548	496	536	47	117	30	406
COL11A1	92	1233	1355	515	152	259	65	789
RNPC3	399	454	4120	283	61	122	285	411
AMY2B	12	51	82	16	8	9	6	57
AMY2A	0	1	1	0	0	0	0	0
AMY1A	0	3	0	0	1	0	0	0
AMY1B	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0
PRMT6	1403	246	15333	254	47	102	691	375
NTNG1	251	245	1798	220	75	36	45	303
VAV3	276	266	3057	293	95	90	248	745
SLC25A24	769	617	4466	403	101	128	699	538
NBPF4	0	0	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0	0	0
FAM102B	561	466	8100	513	105	123	470	622
HENMT1	349	107	3810	44	7	26	207	110
PRPF38B	6081	1255	73585	1128	222	459	3247	2029
FNDC7	7	3	25	3	1	5	1	8
STXBP3	1890	775	19163	571	115	230	993	821
AKNAD1	22	227	176	127	34	43	14	219
GPSM2	519	1038	5972	365	100	153	425	579
CLCC1	953	223	10807	140	47	68	514	300
WDR47	244	137	2558	87	22	39	98	133
TAF13	994	250	12721	248	34	74	534	347
TMEM167B	698	278	7252	166	30	72	335	261
C1orf194	13	151	205	9	16	24	5	52
KIAA1324	26	48	499	29	4	8	21	34
SARS	3821	1517	62224	1057	191	440	2286	1893
CELSR2	468	432	7919	158	41	97	270	342
PSRC1	2029	749	28583	453	95	183	1362	976
MYBPHL	26	14	169	4	0	5	8	19
SORT1	1051	467	13913	405	99	144	611	638
PSMA5	17845	2333	204964	2798	432	831	8488	4202
SYPL2	65	3	1101	13	9	4	27	40
ATXN7L2	98	42	1743	28	8	11	64	50
CYB561D1	56	42	999	30	4	10	38	54
AMIGO1	48	19	550	5	0	7	22	15
GPR61	4	2	64	2	0	1	1	2
GNAI3	5207	1783	61469	1510	276	572	3182	2116
GNAT2	1	0	27	0	0	0	2	3
AMPD2	392	137	5776	79	18	29	197	134
GSTM4	784	253	10597	176	30	70	364	259
GSTM2	17	108	436	20	11	11	22	29
GSTM1	0	72	654	23	1	9	8	24
GSTM5	61	16	1132	1	0	18	28	18
GSTM3	198	1477	3899	267	106	192	161	477
EPS8L3	1	0	4	0	0	0	0	0
CSF1	42	69	627	30	5	11	51	30
AHCYL1	5082	1792	55792	1176	256	463	2583	2113
STRIP1	409	194	6580	180	22	27	218	230
ALX3	13	7	162	3	1	0	9	6
UBL4B	0	0	5	0	0	0	0	0
SLC6A17	1	3	61	4	1	4	2	4
KCNC4	199	84	2763	68	13	26	106	119
RBM15	633	220	6958	201	39	87	307	318
SLC16A4	195	264	1176	122	22	55	80	201
LAMTOR5	11152	2992	153597	2488	489	814	6401	3064
PROK1	0	1	14	1	0	0	0	2
KCNA10	0	0	0	0	0	0	0	0
KCNA2	5	1	46	0	0	0	2	1
KCNA3	2	3	43	2	0	3	2	0
CD53	132	2	3222	3	0	2	43	10
LRIF1	1246	590	12133	289	68	157	505	565
DRAM2	1803	944	16397	571	121	214	1158	925
CEPT1	669	508	6931	400	56	154	376	527
DENND2D	57	10	798	2	4	6	23	34
CHI3L2	3	3	16	8	0	2	0	2
CHIA	0	0	0	0	0	0	0	0
PIFO	1361	224	17876	269	48	72	414	262
OVGP1	3	8	64	7	2	0	4	7
WDR77	4765	338	60431	412	47	138	2351	611
ATP5PB	11150	2907	127813	2590	481	858	6144	4500
C1orf162	4	1	99	3	2	1	1	4
TMIGD3	2	4	21	2	0	1	0	4
ADORA3	3	0	4	0	0	0	0	0
RAP1A	1775	1070	21691	776	122	285	982	1119
INKA2	592	125	8981	111	18	27	156	188
DDX20	1468	317	14782	294	63	90	712	409
KCND3	2	10	43	7	2	2	3	15
CTTNBP2NL	1138	971	11330	633	125	260	655	935
WNT2B	221	500	1835	138	56	94	112	379
ST7L	400	753	5561	480	86	144	344	683
CAPZA1	5619	1985	59847	1485	298	554	3427	2182
MOV10	106	197	3563	98	32	56	225	181
RHOC	1875	1111	35527	806	133	286	1230	1221
PPM1J	146	35	4574	70	14	43	237	118
TAFA3	2	1	178	4	0	2	4	5
SLC16A1	7225	1652	91965	2063	362	785	5545	3576
LRIG2	573	539	7130	440	116	168	464	720
MAGI3	187	1863	2616	1329	225	464	203	1473
PHTF1	685	1507	7517	541	134	281	432	1029
RSBN1	1293	791	16797	397	107	182	868	823
PTPN22	1	8	1	4	0	1	0	4
BCL2L15	1	3	28	1	0	0	4	3
AP4B1	199	86	3036	50	7	24	99	75
DCLRE1B	244	89	4730	58	7	25	164	103
HIPK1	1215	489	14565	369	72	133	763	568
OLFML3	4486	283	59397	1512	148	105	3158	1059
SYT6	1589	131	19688	655	108	104	1206	736
TRIM33	2413	1938	24817	1335	284	448	1577	2059
BCAS2	4652	1357	64503	1184	202	418	2949	1643
DENND2C	127	21	2265	78	13	14	70	65
AMPD1	0	0	0	0	0	0	0	2
NRAS	1860	653	27286	628	102	230	1404	1071
CSDE1	16951	4951	182193	4195	773	1709	10487	7028
SIKE1	2449	744	30530	651	101	251	1911	1042
SYCP1	18	8	353	5	0	3	12	11
TSHB	0	0	0	0	0	0	0	0
TSPAN2	138	136	4052	147	29	66	155	111
NGF	23	54	167	55	7	31	8	44
VANGL1	478	150	4691	262	27	50	272	292
CASQ2	0	6	1	8	0	1	2	4
NHLH2	59	50	811	33	4	10	47	77
SLC22A15	53	158	738	254	30	41	30	340
MAB21L3	1	1	2	4	1	4	0	2
ATP1A1	3980	820	50360	1023	154	357	2367	1413
CD58	189	249	2090	190	46	72	153	166
IGSF3	413	179	4656	227	29	91	252	268
CD2	0	1	2	0	0	0	0	0
PTGFRN	583	292	6520	231	49	101	307	433
CD101	10	16	114	11	3	3	7	66
TTF2	3640	875	39335	673	156	286	1765	1104
TRIM45	137	79	1666	55	4	29	123	78
VTCN1	0	44	27	244	13	56	1	10
MAN1A2	822	1632	8631	927	217	364	579	1355
TENT5C	20	12	219	24	1	9	11	53
GDAP2	485	480	5717	286	64	109	284	420
WDR3	1817	482	19052	486	101	147	1118	651
SPAG17	28	309	431	80	41	14	12	134
TBX15	1	8	40	11	0	2	4	4
WARS2	510	544	6962	309	55	147	292	486
HAO2	2	2	5	1	1	0	2	2
HSD3B2	0	1	2	0	0	0	0	0
HSD3B1	0	0	0	9	0	0	0	1
ZNF697	271	73	3775	123	17	37	118	175
PHGDH	13220	4322	184869	4119	530	1495	10801	5595
HMGCS2	1	3	22	3	0	0	1	3
REG4	1	2	10	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	1
NOTCH2	631	863	6943	406	84	190	389	669
SEC22B	578	601	6698	410	77	169	340	575
AC253572.1	1	1	9	0	0	0	0	0
NBPF26	3	71	36	52	5	6	3	57
PPIAL4A	3	0	24	0	0	0	0	0
FCGR1B	0	0	0	0	0	0	0	0
FAM72B	129	44	2091	25	1	7	99	55
SRGAP2C	216	503	1920	222	52	97	137	490
HIST2H3PS2	0	2	72	31	0	0	1	2
FAM72C	187	20	1821	16	7	11	152	42
IGKV1OR1-1	0	0	0	0	0	0	0	1
PPIAL4E	0	0	0	0	0	0	0	0
NBPF15	44	206	334	109	30	30	32	129
PPIAL4F	0	0	0	0	0	0	0	0
SRGAP2B	66	565	479	324	98	78	50	490
FAM72D	259	61	1631	48	10	6	221	47
PPIAL4D	0	0	0	0	0	0	0	0
NBPF20	10	28	93	13	5	7	6	6
GPR89A	435	207	4182	246	49	36	290	215
PDZK1	2	40	27	33	4	9	5	45
CD160	5	7	34	10	1	3	12	11
RNF115	5067	1144	42305	1513	287	359	2647	1389
POLR3C	1225	419	11812	529	94	99	796	409
NUDT17	112	41	1334	43	9	19	62	48
PIAS3	669	234	6960	245	52	66	608	239
ANKRD35	304	100	5789	180	21	52	576	187
ITGA10	4	7	48	6	1	3	2	12
PEX11B	420	147	3153	150	26	36	206	132
RBM8A	25186	3666	239097	5899	789	1372	14021	5552
LIX1L	48	274	2465	165	37	56	80	146
ANKRD34A	2	5	87	3	2	2	0	5
POLR3GL	224	578	3940	350	84	114	285	355
TXNIP	1178	820	8587	1067	197	312	1066	1022
HJV	34	37	419	8	2	2	34	10
NBPF10	6	51	122	25	4	6	2	25
NOTCH2NLA	1	45	12	24	6	10	0	32
PPIAL4H	0	0	8	0	0	0	0	0
NBPF12	37	276	348	170	48	39	39	138
PRKAB2	2130	415	14942	513	137	153	1215	750
FMO5	87	48	806	47	32	15	50	119
CHD1L	2676	34	18910	49	17	11	1854	69
BCL9	740	924	4426	852	210	251	552	852
ACP6	416	163	2910	195	20	47	399	222
GJA5	14	6	149	46	0	0	11	10
GJA8	0	0	0	0	0	0	0	0
GPR89B	327	184	2594	174	52	45	178	177
NBPF11	106	260	1427	224	45	40	89	232
PPIAL4G	0	4	0	0	0	0	0	1
NBPF14	23	36	406	44	14	13	62	69
NOTCH2NLB	0	1	2	0	0	0	0	0
NUDT4B	0	1	0	1	0	3	0	4
PDE4DIP	393	304	4151	201	45	69	235	180
NBPF9	8	88	126	39	7	15	8	64
NOTCH2NLC	16	160	82	82	19	32	9	101
NBPF19	1	67	6	41	12	14	0	61
PPIAL4C	0	0	1	0	0	0	0	0
FCGR1A	1	0	4	0	0	0	0	0
HIST2H2BF	101	79	838	50	14	9	44	61
HIST2H3D	2	3	77	3	0	1	3	4
HIST2H4A	40	4	101	2	0	0	10	3
HIST2H3C	0	0	0	0	0	0	0	0
HIST2H2AA3	0	0	0	0	0	0	0	0
HIST2H2AA4	0	150	0	65	23	23	0	82
HIST2H3A	0	1	0	0	0	0	0	1
HIST2H4B	0	18	0	11	4	9	0	28
HIST2H2BE	81	62	549	33	11	9	50	29
HIST2H2AC	601	346	4240	158	50	49	405	176
HIST2H2AB	87	63	785	47	7	11	68	42
BOLA1	1385	235	8844	325	65	72	872	278
SV2A	1613	214	13726	375	72	99	967	340
SF3B4	6357	725	57919	895	122	232	2999	1002
MTMR11	151	33	1124	38	4	8	79	39
OTUD7B	821	551	8148	512	139	129	465	582
VPS45	819	691	7077	597	127	164	482	633
PLEKHO1	1568	1139	14750	868	218	278	1166	834
ANP32E	21759	4383	152705	4458	895	1319	13358	5178
CA14	901	630	15708	526	96	133	1035	532
APH1A	6130	1011	63695	1055	186	302	3524	1243
C1orf54	1015	1123	9379	776	145	239	1092	883
CIART	326	78	6072	120	21	38	336	118
MRPS21	22045	3773	185046	4454	805	1098	12897	5084
PRPF3	1648	582	14858	706	125	159	1020	576
RPRD2	1773	1841	12802	1469	334	412	1003	1692
TARS2	1577	287	12017	336	57	76	827	427
ECM1	19	4	296	18	1	1	14	6
ADAMTSL4	119	17	1370	38	13	9	64	29
MCL1	7008	1099	47921	1861	307	495	3159	1656
ENSA	17160	2961	175972	4364	712	881	8617	5031
GOLPH3L	2496	354	22350	601	112	159	1382	670
HORMAD1	1	1	18	4	0	0	0	3
CTSS	0	7	20	6	1	2	0	8
CTSK	233	64	1424	76	19	3	289	96
ARNT	1150	596	8021	576	137	156	632	606
CTXND2	0	10	4	1	0	0	1	0
SETDB1	958	670	7795	630	141	154	636	638
CERS2	3157	485	28416	750	135	181	2130	855
ANXA9	144	12	928	141	4	8	215	23
MINDY1	168	81	1272	52	13	13	99	65
PRUNE1	1310	148	7423	201	48	55	674	219
BNIPL	120	27	278	136	6	12	107	37
C1orf56	1120	280	9235	259	78	58	761	270
CDC42SE1	3569	460	25971	668	121	202	2090	740
MLLT11	4574	1620	36161	1256	236	426	1668	1386
GABPB2	184	242	1878	203	37	55	108	174
SEMA6C	133	87	1961	76	20	18	111	87
TNFAIP8L2	5	1	47	1	0	0	2	1
SCNM1	2027	479	20764	509	107	118	1090	551
LYSMD1	250	60	1880	45	5	15	150	47
TMOD4	0	0	3	0	0	0	0	1
VPS72	3984	943	34790	921	206	232	2453	1158
PIP5K1A	2160	1046	15462	1384	296	344	1114	1322
