early_ectoderm_NA18511	early_ectoderm_NA18856	early_ectoderm_NA18858	early_ectoderm_NA18912	early_ectoderm_NA19140	early_ectoderm_NA19159	early_ectoderm_NA19160	early_ectoderm_NA19210
PPT1	6471	162	2335	609	413	883	5372	231
RLF	2946	224	849	1096	670	1144	2579	398
TMCO2	1	1	0	1	1	0	0	0
ZMPSTE24	2028	94	986	397	217	523	1500	162
COL9A2	2760	143	2298	330	143	157	2943	91
SMAP2	1395	45	384	249	188	296	1005	70
ZFP69B	674	43	200	94	54	143	516	55
ZFP69	230	17	66	39	29	63	195	17
EXO5	486	13	174	63	38	96	354	27
ZNF684	499	17	169	109	68	126	426	26
RIMS3	358	12	150	61	58	113	269	30
NFYC	3337	141	1020	512	405	781	2511	219
KCNQ4	53	4	20	24	8	17	59	5
CITED4	2240	48	887	254	157	277	2078	105
CTPS1	7057	166	1912	523	331	864	4795	258
SLFNL1	6	16	2	80	48	103	6	44
SCMH1	1185	426	333	1515	1109	1942	685	605
FOXO6	110	3	54	24	4	16	95	13
EDN2	6	0	7	0	1	0	18	1
HIVEP3	69	38	59	146	118	119	200	33
AC119676.1	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	0	0	0	1
GUCA2A	0	0	0	0	0	1	0	0
FOXJ3	1313	282	491	1059	792	1445	996	413
RIMKLA	476	11	256	70	51	116	586	24
ZMYND12	58	5	9	11	14	21	54	8
PPCS	3336	137	1346	426	317	662	3434	169
CCDC30	1211	116	204	488	448	506	1041	100
PPIH	7101	237	2356	859	593	1074	5606	307
YBX1	165524	4761	47032	18217	12212	30642	110503	8664
CLDN19	66	2	69	10	15	14	138	7
P3H1	1122	60	599	219	95	204	1172	76
C1orf50	190	74	66	238	179	342	166	87
TMEM269	35	6	6	20	18	21	20	13
SVBP	8142	291	2581	1095	761	1371	6847	378
ERMAP	204	6	73	49	50	86	180	23
ZNF691	722	19	257	90	68	129	599	35
